"";"name";"x"
"125";"Hilton Santo Domingo";0
"132";"Holiday Inn Express Hotel and Suites Hesperia";0
"148";"Hotel Portaventura";0
"151";"Hotel Roc Lago Rojo";0
"153";"Hotel Vorbach";0
"157";"Hyatt Dulles";0
"160";"Hyatt Place San Antonio Airport - Quarry Market";0
"174";"La Quinta Inn and Suites Tucson - Reid Park";0
"178";"Mandarin Oriental Jakarta";0
"196";"Quality Inn";0
"198";"Quality Inn and Suites";0
"206";"Quality Inn Spearfish";0
"209";"Radisson Blu Conference and Airport Hotel";0
"212";"Red Rest Inn";0
"218";"Residence Inn By Marriott Springdale";0
"224";"Sleep Inn Slidell";0
"226";"Sportsmen's Lodge";0
"231";"Super 8 - Effingham";0
"235";"Super 8 Bradenton Sarasota Area";0
"236";"Super 8 Columbia Dwntwn Sc";0
"241";"Super 8 Kansas City Airport";0
"247";"The Grove Seaside Hotel";0
"250";"The Kinney - Venice Beach";0
"252";"The Westin Buckhead";0
"253";"The Westin Europa and Regina";0
"256";"Travelodge Ruther Glen";0
"1";"A Bed & Breakfast In Cambridge";-1
"10";"Amisos Hotel";-1
"23";"Best Western Hospitality Hotel and Suites";-1
"50";"Comfort Inn Montgomery";-1
"54";"Comfort Suites Shreveport";-1
"55";"Comfort Suites Southport";-1
"57";"Country Inn and Suites By Carlson";-1
"64";"Days Inn and Suites Albany";-1
"70";"Days Inn Fort Wayne";-1
"77";"Deluxe Inn Merrillville";-1
"84";"Economy Inn";-1
"90";"Extended Stay America - Orlando Theme Parks - Vineland Rd.";-1
"93";"Fairbridge Inn";-1
"95";"Fairfield Inn and Suites By Marriott Plainville";-1
"123";"Hilton Garden Inn Austin Nw - Arboretum";-1
"129";"Holiday Inn Express & Suites Portland";-1
"143";"Hotel Casena Dei Colli";-1
"145";"Hotel Garibaldi";-1
"188";"Motel 6 Fort Bragg";-1
"197";"Quality Inn & Suites";-1
"202";"Quality Inn Gulfport";-1
"210";"Radisson Hotel Hauppauge-long Island";-1
"211";"Red Carpet Inn";-1
"220";"Samui Cliff View Resort & Spa";-1
"225";"Sombrero Resort and Marina";-1
"233";"Super 8 Batesville Ar";-1
"234";"Super 8 Big Cabin Vinita Ok";-1
"240";"Super 8 Indianapolis";-1
"244";"Super 8 Manhattan Ks";-1
"255";"Travelodge Anaheim Convention Center";-1
"5";"Americas Best Value Inn";-2
"17";"Baymont Inn and Suites Boone";-2
"32";"Campanile Lyon Ecully";-2
"74";"Days Inn Ruther Glen Kings Dominion Area";-2
"121";"Hawthorn Suites By Wyndham Livermore Wine Country";-2
"131";"Holiday Inn Express Hotel and Stes Port Clinton-catawba Island";-2
"162";"Hyatt Regency Kathmandu";-2
"181";"Mccamly Plaza Hotel";-2
"195";"Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive";-2
"204";"Quality Inn Long Beach Airport";-2
"214";"Residence Inn By Marriott Deptford";-2
"258";"Una Hotel Forte Dei Marmi";-2
"118";"Hampton Inn Sarasota - I-75 Bee Ridge";-3
"7";"Americas Best Value Inn and Suites";-4
"101";"Fireside Inn Santa Cruz";-4
"232";"Super 8 - Upland";-4
"14";"Arizona Inn of Prescott Valley";-5
"154";"Howard Johnson Inn - Newburgh";-5
"190";"Norwood Inn and Suites";-5
"99";"Fiesta Inn and Suites";-25
